LabNum,Unit,Locus,SpecimenType,AMSDateUncal,Error,d13C,CalRangeOneSig,CalRangeTwoSig,Periodization,,,,,,,
OxA-23487,L-sect,24,Hordeum,2907,26,-20.22,1154 - 1042 BCE,1207 - 1011 BCE,Iron I,,,,,,,
UCIAMS-157803,BS44,132,Vitis vinifera,2905,20,-24.4,1123 - 1048 BCE,1193 - 1013 BCE,Iron I,,,,,,,
AA100559,BR47,6,Hordeum,2837,41,-22.1,1046 - 930 BCE,1122 - 899 BCE,Iron I,,,,,,,
UCIAMS-157801,BS44,122,Hordeum,2690,20,-21,888 - 809 BCE,896 - 807 BCE,Iron II,,,,,,,
AA101220,CL13,12,Charcoal,2539,46,-24,796 - 556 BCE,805 - 521 BCE,Iron II,,,,,,,
OxA-23575,L-sect,20,Hordeum,2511,30,-20,772 - 556 BCE,791 - 540 BCE,Iron II,,,,,,,
AA101221,CL13,13,Charcoal,2485,40,-22.9,764 - 542 BCE,784 - 431 BCE,Iron II,,,,,,,
AA100558,BR47,10,Triticum,1963,39,-22.2,20 BCE - 79 CE,45 BCE - 125 CE,Nabataean / Early Roman,,,,,,,
AA100557,BR47,9,Hordeum,1918,45,-22.5,27 BCE - 130 CE,21 BCE - 219 CE,Nabataean / Early Roman,,,,,,,
OxA-23490,DM17,5,Charcoal,1856,26,-22.54,126 - 215 CE,85 - 229 CE,Nabataean / Early Roman,,,,,,,
UCIAMS-157800,BR44,51,Vitis vinifera,1765,20,-22.7,240 - 324 CE,223 - 338 CE,Late Roman,,,,,,,
AA100554,AX55,18,Triticum,1524,38,-22.1,434 - 594 CE,426 - 611 CE,Late Antique,,,,,,,
UCIAMS-157795,AW54,31,Pisum cf. sativum,1475,20,-23,568 - 612 CE,554 - 637 CE,Late Antique,,,,,,,
UCIAMS-157796,AW54,35,Vitis vinifera,1475,20,-20.6,568 - 612 CE,554 - 637 CE,Late Antique,,,,,,,
UCIAMS-157799,AX55,42,Triticum dicoccum,1475,20,-20.4,568 - 612 CE,554 - 637 CE,Late Antique,,,,,,,
UCIAMS-157797,AW54,26,Triticum cf. dicoccum,1470,20,-20,571 - 617 CE,557 - 640 CE,Late Antique,,,,,,,
UCIAMS-157798,AW55,36,Hordeum,1465,20,-23.7,575 - 623 CE,563 - 642 CE,Late Antique,,,,,,,
AA100556,AX54,6,Hordeum,1404,39,-24.8,611 - 660 CE,571 - 675 CE,Late Antique Transitional,,,,,,,
AA100555,AW54,10,Vitis vinifera,1391,39,-25.3,617 - 665 CE,577 - 686 CE,Late Antique Transitional,,,,,,,
UCIAMS-157804,BP49,13,Hordeum,1225,20,-21.2,722 - 865 CE,695 - 882 CE,Umayyad / Abbasid,,,,,,,
OxA-23483,BR44,36,Triticum,1190,24,-21.76,779 - 878 CE,769 - 938 CE,Umayyad / Abbasid,,,,,,,
AA100552,BS44,80,Hordeum,1167,38,-23.9,777 - 940 CE,770 - 973 CE,Umayyad / Abbasid,,,,,,,
OxA-19019,BR41,41,Charcoal,888,23,-25.2,1052 - 1206 CE,1045 - 1216 CE,Middle Islamic I,,,,,,,
UCIAMS-157802,BS44,44,Hordeum,850,20,-20.2,1170 - 1217 CE,1158 - 1247 CE,Middle Islamic I,,,,,,,
OxA-23456,BP48,18,Triticum,832,24,-20.66,1187 - 1248 CE,1165 - 1258 CE,Middle Islamic I,,,,,,,
OxA-23574,BS44,58,Triticum,825,37,-20.79,1188 - 1257 CE,1059 - 1274 CE,Middle Islamic I,,,,,,,
AA100560,BS44,90,Hordeum,690,37,-24.8,1274 - 1383 CE,1260 - 1392 CE,Middle Islamic II,,,,,,,
AA101219,CL13,9,Vicia ervilia,683,37,-20.4,1275 - 1384 CE,1264 - 1392 CE,Middle Islamic II,,,,,,,
OxA-23457,BS43,18,Triticum,626,23,-20.65,1298 - 1391 CE,1290 - 1398 CE,Middle Islamic II,,,,,,,
OxA-23484,BR44,35,Triticum,605,24,-20.7,1306 - 1397 CE,1298 - 1404 CE,Middle Islamic II,,,,,,,
OxA-19020,BR45,49,Charcoal,597,23,-22.49,1311 - 1399 CE,1299 - 1409 CE,Middle Islamic II,,,,,,,
AA100553,BR44,42,Hordeum,578,65,-24,1305 - 1415 CE,1287 - 1436 CE,Middle Islamic II,,,,,,,
AA100551,BS44,82,Triticum,573,38,-22,1316 - 1413 CE,1299 - 1425 CE,Middle Islamic II,,,,,,,
OxA-19018,BR43,44,Charcoal,493,23,-22.68,1419 - 1437 CE,1409 - 1445 CE,Middle Islamic II,,,,,,,
UCIAMS-157805,BS46,26,Hordeum,410,20,-21.4,1443 - 1475 CE,1436 - 1616 CE,Late Islamic,,,,,,,
OxA-23485,BR44,16,charcoal,306,23,-22.72,1522 - 1644 CE,1494 - 1649 CE,Late Islamic,,,,,,,
OxA-23488,DM17,2,Charcoal,291,23,-21.94,1524 - 1649 CE,1515 - 1657 CE,Late Islamic,,,,,,,
OxA-23486,BR44,16,charcoal,263,24,-22.47,1530 - 1664 CE,1522 - 1799 CE,Late Islamic,,,,,,,
